state,votes,electoral_vote
Delaware,502384,1.0
District of Columbia,279152,1.0
Florida,11031440,1.0
Georgia,4961026,1.0
Hawaii,573854,1.0
Idaho,867971,1.0
Illinois,5368050,1.0
Indiana,3030596,1.0
Iowa,1686813,1.0
Kansas,1320528,1.0
Kentucky,2129737,1.0
Louisiana,2147314,1.0
Maine,776377,1.0
Maryland,2165706,1.0
Massachusetts,3426617,1.0
Michigan,5533164,1.0
Minnesota,3269790,1.0
Mississippi,1074203,1.0
Missouri,3010314,1.0
Montana,602777,1.0
Nebraska,926348,1.0
Nevada,1258441,1.0
New Hampshire,798982,1.0
New Jersey,3294578,1.0
New Mexico,922516,1.0
New York,7264353,1.0
North Carolina,5461810,1.0
North Dakota,361279,1.0
Ohio,5701651,1.0
Oklahoma,1558627,1.0
Oregon,2298062,1.0
Pennsylvania,6681723,1.0
Rhode Island,500390,1.0
South Carolina,2504651,1.0
South Dakota,422673,1.0
Tennessee,3049471,1.0
Texas,11266349,1.0
Utah,1172355,1.0
Vermont,350178,1.0
Virginia,4378890,1.0
Washington,3750036,1.0
West Virginia,786272,1.0
Wisconsin,3297420,1.0
Wyoming,276528,1.0
Alabama,2297624,1.0
Arkansas,1219812,1.0
California,12570927,1.0
Colorado,3135852,1.0
Connecticut,1727466,1.0
United States,146288732,
Alaska,172031,0.0
Arizona,3123624,1.0
